Location,Google maps location name,Google maps adress,Place id,rating,rating total,Type
Dr. Martin Luther King Jr. Park,Dr. Martin Luther King Jr. Park,"1702 Broadway St, Indianapolis, IN 46202, United States",ChIJxyLxn-JQa4gRH0yDxTynK8M,4.5,123,park
Goodfellas Pizzeria - Mass Ave,Goodfellas Pizzeria - Mass Ave,"545 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJyxOFWOtQa4gRPj0KjPncbvw,4.5,1812,restaurant
Ralston's,Ralston's,"635 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJuSb8--xQa4gRMsqC_W5-vEQ,4.4,1064,restaurant
Petra Cafe,Petra Cafe,"610 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJE-Tj8-xQa4gRE1svKUvQ43Y,4.4,463,restaurant
Mass Avenue Pub,Mass Avenue Pub,"745 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJl4Znlu1Qa4gRpCSTKYQsw24,4.5,688,bar
Chatham Tap Mass Ave,Chatham Tap Mass Ave,"719 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJQQkTpe1Qa4gRHRVPeAjwKhQ,4.6,923,bar
Dave's Hot Chicken,Dave's Hot Chicken,"530 Massachusetts Ave Suite 150, Indianapolis, IN 46204, United States",ChIJE5qHj5ZRa4gRhDBNc1h_1j4,4.6,364,restaurant
Rooster's Kitchen,Rooster's Kitchen,"888 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJo_ERmfFQa4gRq-rZgXXlL7g,4.5,655,restaurant
Colonel's Cupboard Restaurant,Colonel's Cupboard Restaurant,"1500 E Michigan St, Indianapolis, IN 46201, United States",ChIJyQu2j19Qa4gRKZuI1-4CWu8,4.9,15,restaurant
Bru Burger Bar,Bru Burger Bar,"410 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJEc2YIJVQa4gRGeKM71Blwm0,4.5,4537,bar
Bar-B-Q Heaven,Bar-B-Q Heaven,"2515 Doctor M.L.K. Jr St, Indianapolis, IN 46208, United States",ChIJF_wW2i1Ra4gRdWubP5heP9I,4.1,1019,restaurant
Mesh - Indianapolis,Mesh - Indianapolis,"725 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJF7ujvO1Qa4gRvr9-aFMpudc,4.4,1276,restaurant
Kountry Kitchen (temporary location),Kountry Kitchen (temporary location),"1417 Commerce Ave, Indianapolis, IN 46201, United States",ChIJaYF5cBBRa4gR3qVAtvhTz8U,3.8,198,restaurant
Fat Dan's Deli,Fat Dan's Deli,"221 E Kirkwood Ave Suite 1, Bloomington, IN 47408, United States",ChIJsdeueNJnbIgR3rRqyqpCCyY,4.5,219,restaurant
The Flatiron @ The Point on Penn,The Flatiron @ The Point on Penn,"605 N Pennsylvania St, Indianapolis, IN 46202, United States",ChIJJV-KVntRa4gR_lSmMx_Urzs,4.7,139,restaurant
Abbiocco Pizzeria,Abbiocco Pizzeria,"906 Carrollton Ave suite 385, Indianapolis, IN 46202, United States",ChIJwbWBL1BRa4gRtrPKnwrij-w,4.3,18,restaurant
